Your Name - CS 1337 - Lab 42

whitespace = 43
punctuation = 9
-----------------
Character   Count
-----------------
    1           3
    2           1
    3           1
    4           1
    9           6
    A          14
    B           2
    C           1
    D           7
    E           5
    F           2
    G           4
    H           6
    I          14
    K           1
    L           3
    M           3
    N          10
    O          10
    P           1
    R           8
    S          10
    T          11
    U           3
    V           1
    W           7
    Y           5
-----------------
